,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
70,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,APPS,0.5809363313172335,0.5922018560413664,0.6070224848792629,0.6273142804376914,0.5961724918047904
71,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,APPS,0.5810517567754727,0.5936100466318831,0.565584745371437,0.6232743893993241,0.5953875986887645
72,gpt-4o,mistral-nemo-12b,internal state,1/2,APPS,0.6556470531909839,0.6582084550198726,0.5427538660410803,0.6161966773591263,0.597476899506873
73,gpt-4o,mistral-nemo-12b,internal state,2/3,APPS,0.6335998467946606,0.6265859146837779,0.6066692200890532,0.6429357973859374,0.6189256475319601
74,gpt-4o,mistral-nemo-12b,internal state,3/4,APPS,0.6321874850385449,0.629865466558149,0.6021448748025113,0.6293148848566127,0.5930483075597289
75,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,APPS,0.5571647436204367,0.52058696797051,0.5137166658687247,0.5517786182793152,0.5599415904629699
76,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,APPS,0.6157418489969864,0.604897783310196,0.5771053765500105,0.5893139273232181,0.5756930147938931
77,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,APPS,0.6155742806530404,0.6046344616268522,0.5891942356489709,0.5916838224733114,0.5634126490161372
78,gpt-4o,qwen2.5-coder-7b,internal state,1/2,APPS,0.7378971428571407,0.7640457142857122,0.7311542857142838,0.7623771428571406,0.7490971428571402
79,gpt-4o,qwen2.5-coder-7b,internal state,2/3,APPS,0.7758171428571412,0.7768914285714263,0.6996571428571406,0.7717714285714267,0.7585371428571406
80,gpt-4o,qwen2.5-coder-7b,internal state,3/4,APPS,0.7855085714285694,0.7675199999999976,0.7501028571428552,0.7919771428571406,0.7920914285714261
81,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,APPS,0.6400457142857124,0.6476114285714267,0.6167314285714263,0.6433142857142838,0.6538742857142835
82,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,APPS,0.6173714285714268,0.6297142857142837,0.6029714285714266,0.6383542857142835,0.6570514285714264
83,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,APPS,0.6172799999999983,0.628342857142855,0.6070399999999981,0.6437028571428551,0.6534399999999982
84,gpt-4o,phi4-14b,internal state,1/2,APPS,0.7911478966232753,0.7938832295793228,0.7463450292397633,0.7970194302961685,0.7562959818902067
85,gpt-4o,phi4-14b,internal state,2/3,APPS,0.7862903225806436,0.8005564987738129,0.786903414450101,0.803504055838519,0.793576683644592
86,gpt-4o,phi4-14b,internal state,3/4,APPS,0.7879173740803604,0.8023250330126356,0.7786502546689273,0.8078664402942821,0.7632286361063918
87,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,APPS,0.5802207130730034,0.5774853801169574,0.5332012827768324,0.5701754385964892,0.572792869269947
88,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,APPS,0.630022637238255,0.6130211280890382,0.5878843614412358,0.5982833427655142,0.5605546123372925
89,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,APPS,0.6305649877381609,0.6127381626108266,0.5915393322014694,0.6083050367855105,0.5554376532729655
90,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,APPS,0.7255831962055933,0.6995450585616103,0.519746394347109,0.6960604007356496,0.6230277804665558
