,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
47,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-small,HumanEval,0.9451219512195121,0.926829268292683,0.9390243902439024,0.9146341463414634,0.9451219512195121
48,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,1/2,HumanEval,0.9451219512195121,0.9695121951219512,1.0,0.9390243902439024,1.0
49,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,2/3,HumanEval,0.8353658536585366,0.9451219512195121,0.8963414634146342,0.8658536585365854,1.0
50,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,3/4,HumanEval,0.9085365853658537,0.8536585365853658,1.0,0.8170731707317073,0.8353658536585366
51,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,HumanEval,0.8536585365853658,0.8658536585365854,0.9085365853658537,0.8353658536585366,0.8780487804878049
52,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,HumanEval,0.8780487804878049,0.8658536585365854,0.8475609756097561,0.8841463414634146,1.0
53,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,HumanEval,0.8841463414634146,0.8658536585365854,0.8841463414634146,0.8780487804878049,0.9512195121951219
54,gemini-2.5-flash-lite,phi4-14b,internal state,1/2,HumanEval,0.975609756097561,0.9878048780487805,1.0,0.975609756097561,0.9451219512195121
55,gemini-2.5-flash-lite,phi4-14b,internal state,2/3,HumanEval,0.9390243902439024,0.9878048780487805,1.0,0.9695121951219512,0.8841463414634146
56,gemini-2.5-flash-lite,phi4-14b,internal state,3/4,HumanEval,0.9451219512195121,0.975609756097561,1.0,0.9695121951219512,0.8963414634146342
57,gemini-2.5-flash-lite,phi4-14b,prompt embedding,nomic-embed-text,HumanEval,0.9573170731707317,0.9878048780487805,0.9390243902439024,0.9695121951219512,1.0
58,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-large,HumanEval,0.9878048780487805,0.9695121951219512,0.9573170731707317,0.9695121951219512,0.9451219512195121
59,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-small,HumanEval,0.9878048780487805,0.9695121951219512,0.9695121951219512,0.975609756097561,0.9573170731707317
60,gpt-4o,llama3-8b,internal state,1/2,APPS,0.8966666666666666,0.8966666666666666,1.0,0.8966666666666666,0.8366666666666667
